# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	16808	17989	-	WP_147000560.1	WP_147000560.1		pyridoxal phosphate-dependent aminotransferase		66530569	FGL83_RS00080	1182	393	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	18012	18545	-						66530570	FGL83_RS00085	534		old_locus_tag=FGL83_00085
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	18012	18545	-	WP_147000561.1	WP_147000561.1		hypothetical protein		66530570	FGL83_RS00085	534	177	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	18584	20989	-						66530571	FGL83_RS00090	2406		old_locus_tag=FGL83_00090
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	18584	20989	-	WP_147000562.1	WP_147000562.1		DNA polymerase III subunit epsilon		66530571	FGL83_RS00090	2406	801	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	21146	22078	+					mvk	66530572	FGL83_RS00095	933		old_locus_tag=FGL83_00095
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	21146	22078	+	WP_147000563.1	WP_147000563.1		mevalonate kinase	mvk	66530572	FGL83_RS00095	933	310	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	22105	23094	-						66530573	FGL83_RS00100	990		old_locus_tag=FGL83_00100
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	22105	23094	-	WP_147000564.1	WP_147000564.1		aldo/keto reductase		66530573	FGL83_RS00100	990	329	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	23098	23991	-						66530574	FGL83_RS00105	894		old_locus_tag=FGL83_00105
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	23098	23991	-	WP_095652511.1	WP_095652511.1		GDSL-type esterase/lipase family protein		66530574	FGL83_RS00105	894	297	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	23988	24962	-						66530575	FGL83_RS00110	975		old_locus_tag=FGL83_00110
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	23988	24962	-	WP_095652510.1	WP_095652510.1		ribose-phosphate pyrophosphokinase		66530575	FGL83_RS00110	975	324	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	25006	27393	-						66530576	FGL83_RS00115	2388		old_locus_tag=FGL83_00115
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	25006	27393	-	WP_147000565.1	WP_147000565.1		ATP-dependent RecD-like DNA helicase		66530576	FGL83_RS00115	2388	795	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	27433	28086	-						66530577	FGL83_RS00120	654		old_locus_tag=FGL83_00120
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	27433	28086	-	WP_029509227.1	WP_029509227.1		histidine phosphatase family protein		66530577	FGL83_RS00120	654	217	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	28088	28426	-						66530578	FGL83_RS00125	339		old_locus_tag=FGL83_00125
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	28088	28426	-	WP_147000566.1	WP_147000566.1		DUF1831 domain-containing protein		66530578	FGL83_RS00125	339	112	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	28581	29696	-						66530579	FGL83_RS00130	1116		old_locus_tag=FGL83_00130
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	28581	29696	-	WP_077282507.1	WP_077282507.1		BMP family protein		66530579	FGL83_RS00130	1116	371	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	29872	31320	-						66530580	FGL83_RS00135	1449		old_locus_tag=FGL83_00135
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	29872	31320	-	WP_147000567.1	WP_147000567.1		RsmF rRNA methyltransferase first C-terminal domain-containing protein		66530580	FGL83_RS00135	1449	482	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	31320	32231	-					rbsK	66530581	FGL83_RS00140	912		old_locus_tag=FGL83_00140
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	31320	32231	-	WP_147000568.1	WP_147000568.1		ribokinase	rbsK	66530581	FGL83_RS00140	912	303	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	32405	32830	-						66530582	FGL83_RS00145	426		old_locus_tag=FGL83_00145
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	32405	32830	-	WP_029509222.1	WP_029509222.1		phosphate-starvation-inducible PsiE family protein		66530582	FGL83_RS00145	426	141	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	32891	37204	-						66530583	FGL83_RS00150	4314		old_locus_tag=FGL83_00150
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	32891	37204	-	WP_147000569.1	WP_147000569.1		PolC-type DNA polymerase III		66530583	FGL83_RS00150	4314	1437	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	37262	38977	-						66530584	FGL83_RS00155	1716		old_locus_tag=FGL83_00155
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	37262	38977	-	WP_010005501.1	WP_010005501.1		proline--tRNA ligase		66530584	FGL83_RS00155	1716	571	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	39043	40296	-					rseP	66530585	FGL83_RS00160	1254		old_locus_tag=FGL83_00160
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	39043	40296	-	WP_147000570.1	WP_147000570.1		RIP metalloprotease RseP	rseP	66530585	FGL83_RS00160	1254	417	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	40300	41094	-						66530586	FGL83_RS00165	795		old_locus_tag=FGL83_00165
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	40300	41094	-	WP_029509217.1	WP_029509217.1		phosphatidate cytidylyltransferase		66530586	FGL83_RS00165	795	264	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	41098	41877	-						66530587	FGL83_RS00170	780		old_locus_tag=FGL83_00170
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	41098	41877	-	WP_029509216.1	WP_029509216.1		isoprenyl transferase		66530587	FGL83_RS00170	780	259	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	41988	43793	-					glmS	66530588	FGL83_RS00175	1806		old_locus_tag=FGL83_00175
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	41988	43793	-	WP_095652505.1	WP_095652505.1		glutamine--fructose-6-phosphate transaminase (isomerizing)	glmS	66530588	FGL83_RS00175	1806	601	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	44004	45659	+					ade	66530589	FGL83_RS00180	1656		old_locus_tag=FGL83_00180
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	44004	45659	+	WP_147000571.1	WP_147000571.1		adenine deaminase	ade	66530589	FGL83_RS00180	1656	551	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	45662	46153	+						66530590	FGL83_RS00185	492		old_locus_tag=FGL83_00185
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	45662	46153	+	WP_029509213.1	WP_029509213.1		hypothetical protein		66530590	FGL83_RS00185	492	163	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	46181	48583	-						66530591	FGL83_RS00190	2403		old_locus_tag=FGL83_00190
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	46181	48583	-	WP_147000572.1	WP_147000572.1		DNA translocase FtsK		66530591	FGL83_RS00190	2403	800	
gene	tRNA	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	48711	48782	-						66530592	FGL83_RS00195	72		old_locus_tag=FGL83_00195
tRNA		GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	48711	48782	-				tRNA-Glu		66530592	FGL83_RS00195	72		anticodon=TTC
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	48852	49364	-						66530593	FGL83_RS00200	513		old_locus_tag=FGL83_00200
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	48852	49364	-	WP_010000283.1	WP_010000283.1		tRNA (cytidine(34)-2'-O)-methyltransferase		66530593	FGL83_RS00200	513	170	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	49361	50509	-						66530594	FGL83_RS00205	1149		old_locus_tag=FGL83_00205
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	49361	50509	-	WP_147000573.1	WP_147000573.1		AI-2E family transporter		66530594	FGL83_RS00205	1149	382	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	50716	51669	+					mvaD	66530595	FGL83_RS00210	954		old_locus_tag=FGL83_00210
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	50716	51669	+	WP_147000574.1	WP_147000574.1		diphosphomevalonate decarboxylase	mvaD	66530595	FGL83_RS00210	954	317	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	51662	52690	+						66530596	FGL83_RS00215	1029		old_locus_tag=FGL83_00215
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	51662	52690	+	WP_147001470.1	WP_147001470.1		phosphomevalonate kinase		66530596	FGL83_RS00215	1029	342	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	52683	53738	+					fni	66530597	FGL83_RS00220	1056		old_locus_tag=FGL83_00220
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	52683	53738	+	WP_147000575.1	WP_147000575.1		type 2 isopentenyl-diphosphate Delta-isomerase	fni	66530597	FGL83_RS00220	1056	351	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	53760	54323	-					hpt	66530598	FGL83_RS00225	564		old_locus_tag=FGL83_00225
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	53760	54323	-	WP_010000290.1	WP_010000290.1		hypoxanthine phosphoribosyltransferase	hpt	66530598	FGL83_RS00225	564	187	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	54320	55615	-					purB	66530599	FGL83_RS00230	1296		old_locus_tag=FGL83_00230
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	54320	55615	-	WP_147000576.1	WP_147000576.1		adenylosuccinate lyase	purB	66530599	FGL83_RS00230	1296	431	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	55794	57011	-						66530600	FGL83_RS00235	1218		old_locus_tag=FGL83_00235
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	55794	57011	-	WP_147000577.1	WP_147000577.1		OFA family MFS transporter		66530600	FGL83_RS00235	1218	405	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	57138	57941	-						66530601	FGL83_RS00240	804		old_locus_tag=FGL83_00240
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	57138	57941	-	WP_095652496.1	WP_095652496.1		esterase family protein		66530601	FGL83_RS00240	804	267	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	58008	59672	-						66530602	FGL83_RS00245	1665		old_locus_tag=FGL83_00245
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	58008	59672	-	WP_147000578.1	WP_147000578.1		formate--tetrahydrofolate ligase		66530602	FGL83_RS00245	1665	554	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	59700	60956	-					purD	66530603	FGL83_RS00250	1257		old_locus_tag=FGL83_00250
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	59700	60956	-	WP_147000579.1	WP_147000579.1		phosphoribosylamine--glycine ligase	purD	66530603	FGL83_RS00250	1257	418	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	61131	61592	-						66530604	FGL83_RS00255	462		old_locus_tag=FGL83_00255
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	61131	61592	-	WP_147000580.1	WP_147000580.1		8-oxo-dGTP diphosphatase		66530604	FGL83_RS00255	462	153	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	61653	63179	-					purH	66530605	FGL83_RS00260	1527		old_locus_tag=FGL83_00260
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	61653	63179	-	WP_147000581.1	WP_147000581.1		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH	66530605	FGL83_RS00260	1527	508	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	63176	63766	-					purN	66530606	FGL83_RS00265	591		old_locus_tag=FGL83_00265
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	63176	63766	-	WP_010003146.1	WP_010003146.1		phosphoribosylglycinamide formyltransferase	purN	66530606	FGL83_RS00265	591	196	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	63760	64797	-					purM	66530607	FGL83_RS00270	1038		old_locus_tag=FGL83_00270
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	63760	64797	-	WP_147000582.1	WP_147000582.1		phosphoribosylformylglycinamidine cyclo-ligase	purM	66530607	FGL83_RS00270	1038	345	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	64794	66416	-					purF	66530608	FGL83_RS00275	1623		old_locus_tag=FGL83_00275
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	64794	66416	-	WP_147000583.1	WP_147000583.1		amidophosphoribosyltransferase	purF	66530608	FGL83_RS00275	1623	540	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	66398	68620	-					purL	66530609	FGL83_RS00280	2223		old_locus_tag=FGL83_00280
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	66398	68620	-	WP_147000584.1	WP_147000584.1		phosphoribosylformylglycinamidine synthase subunit PurL	purL	66530609	FGL83_RS00280	2223	740	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	68690	69358	-					purQ	66530610	FGL83_RS00285	669		old_locus_tag=FGL83_00285
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	68690	69358	-	WP_010006384.1	WP_010006384.1		phosphoribosylformylglycinamidine synthase subunit PurQ	purQ	66530610	FGL83_RS00285	669	222	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	69355	69621	-					purS	66530611	FGL83_RS00290	267		old_locus_tag=FGL83_00290
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	69355	69621	-	WP_010006383.1	WP_010006383.1		phosphoribosylformylglycinamidine synthase subunit PurS	purS	66530611	FGL83_RS00290	267	88	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	69633	70346	-						66530612	FGL83_RS00295	714		old_locus_tag=FGL83_00295
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	69633	70346	-	WP_182056433.1	WP_182056433.1		phosphoribosylaminoimidazolesuccinocarboxamide synthase		66530612	FGL83_RS00295	714	237	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	70363	71478	-					purK	66530613	FGL83_RS00300	1116		old_locus_tag=FGL83_00300
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	70363	71478	-	WP_147000586.1	WP_147000586.1		5-(carboxyamino)imidazole ribonucleotide synthase	purK	66530613	FGL83_RS00300	1116	371	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	71475	71960	-					purE	66530614	FGL83_RS00305	486		old_locus_tag=FGL83_00305
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	71475	71960	-	WP_029509187.1	WP_029509187.1		5-(carboxyamino)imidazole ribonucleotide mutase	purE	66530614	FGL83_RS00305	486	161	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	72246	73721	-						66530615	FGL83_RS00310	1476		old_locus_tag=FGL83_00310
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	72246	73721	-	WP_077282465.1	WP_077282465.1		ABC transporter substrate-binding protein/permease		66530615	FGL83_RS00310	1476	491	
gene	RNase_P_RNA	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	73878	74247	-					rnpB	66530616	FGL83_RS00315	370		old_locus_tag=FGL83_00315
ncRNA	RNase_P_RNA	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	73878	74247	-				RNase P RNA component class B	rnpB	66530616	FGL83_RS00315	370		
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	74297	74686	-					gpsB	66530617	FGL83_RS00320	390		old_locus_tag=FGL83_00320
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	74297	74686	-	WP_010000313.1	WP_010000313.1		cell division regulator GpsB	gpsB	66530617	FGL83_RS00320	390	129	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	74763	75335	-						66530618	FGL83_RS00325	573		old_locus_tag=FGL83_00325
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	74763	75335	-	WP_147000587.1	WP_147000587.1		DUF1273 domain-containing protein		66530618	FGL83_RS00325	573	190	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	75383	77575	-						66530619	FGL83_RS00330	2193		old_locus_tag=FGL83_00330
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	75383	77575	-	WP_147000588.1	WP_147000588.1		penicillin-binding protein		66530619	FGL83_RS00330	2193	730	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	77600	78214	-					recU	66530620	FGL83_RS00335	615		old_locus_tag=FGL83_00335
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	77600	78214	-	WP_029509181.1	WP_029509181.1		Holliday junction resolvase RecU	recU	66530620	FGL83_RS00335	615	204	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	79029	79280	-						66530621	FGL83_RS00340	252		old_locus_tag=FGL83_00340
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	79029	79280	-	WP_147000589.1	WP_147000589.1		hypothetical protein		66530621	FGL83_RS00340	252	83	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	79261	79647	-						66530622	FGL83_RS00345	387		old_locus_tag=FGL83_00345
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	79261	79647	-	WP_147000590.1	WP_147000590.1		hypothetical protein		66530622	FGL83_RS00345	387	128	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	79640	80953	-						66530623	FGL83_RS00350	1314		old_locus_tag=FGL83_00350
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	79640	80953	-	WP_147000591.1	WP_147000591.1		Y-family DNA polymerase		66530623	FGL83_RS00350	1314	437	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	81097	81909	+						66530624	FGL83_RS00355	813		old_locus_tag=FGL83_00355
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	81097	81909	+	WP_147000592.1	WP_147000592.1		hypothetical protein		66530624	FGL83_RS00355	813	270	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	81981	82937	-						66530625	FGL83_RS00360	957		old_locus_tag=FGL83_00360
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	81981	82937	-	WP_147000593.1	WP_147000593.1		peptidoglycan recognition protein family protein		66530625	FGL83_RS00360	957	318	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	82921	83394	-						66530626	FGL83_RS00365	474		old_locus_tag=FGL83_00365
