# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	13781	14518	+	WP_010275944.1	WP_010275944.1		ABC transporter ATP-binding protein		64343678	I6H60_RS00085	738	245	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	14532	15326	+						64343679	I6H60_RS00090	795		old_locus_tag=I6H60_00090
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	14532	15326	+	WP_010275942.1	WP_010275942.1		ABC transporter permease subunit		64343679	I6H60_RS00090	795	264	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	15393	16331	-						64343680	I6H60_RS00095	939		old_locus_tag=I6H60_00095
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	15393	16331	-	WP_010275940.1	WP_010275940.1		AEC family transporter		64343680	I6H60_RS00095	939	312	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	16497	17120	-						64343681	I6H60_RS00100	624		old_locus_tag=I6H60_00100
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	16497	17120	-	WP_010275936.1	WP_010275936.1		carbonic anhydrase family protein		64343681	I6H60_RS00100	624	207	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	17721	19067	+					dnaA	64343682	I6H60_RS00105	1347		old_locus_tag=I6H60_00105
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	17721	19067	+	WP_010275931.1	WP_010275931.1		chromosomal replication initiator protein DnaA	dnaA	64343682	I6H60_RS00105	1347	448	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	19298	20431	+					dnaN	64343683	I6H60_RS00110	1134		old_locus_tag=I6H60_00110
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	19298	20431	+	WP_010275928.1	WP_010275928.1		DNA polymerase III subunit beta	dnaN	64343683	I6H60_RS00110	1134	377	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	20612	21061	+					yaaA	64343684	I6H60_RS00115	450		old_locus_tag=I6H60_00115
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	20612	21061	+	WP_010275924.1	WP_010275924.1		S4 domain-containing protein YaaA	yaaA	64343684	I6H60_RS00115	450	149	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	21043	22167	+					recF	64343685	I6H60_RS00120	1125		old_locus_tag=I6H60_00120
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	21043	22167	+	WP_010275921.1	WP_010275921.1		DNA replication/repair protein RecF	recF	64343685	I6H60_RS00120	1125	374	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	22214	24226	+					gyrB	64343686	I6H60_RS00125	2013		old_locus_tag=I6H60_00125
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	22214	24226	+	WP_031940959.1	WP_031940959.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	64343686	I6H60_RS00125	2013	670	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	24293	26842	+					gyrA	64343687	I6H60_RS00130	2550		old_locus_tag=I6H60_00130
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	24293	26842	+	WP_010275913.1	WP_010275913.1		DNA gyrase subunit A	gyrA	64343687	I6H60_RS00130	2550	849	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	26887	27588	-						64343688	I6H60_RS00135	702		old_locus_tag=I6H60_00135
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	26887	27588	-	WP_010275910.1	WP_010275910.1		response regulator transcription factor		64343688	I6H60_RS00135	702	233	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	27569	28420	-						64343689	I6H60_RS00140	852		old_locus_tag=I6H60_00140
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	27569	28420	-	WP_010275906.1	WP_010275906.1		GHKL domain-containing protein		64343689	I6H60_RS00140	852	283	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	28665	30137	+					asp1	64343690	I6H60_RS00145	1473		old_locus_tag=I6H60_00145
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	28665	30137	+	WP_010275902.1	WP_010275902.1		accessory Sec system protein Asp1	asp1	64343690	I6H60_RS00145	1473	490	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	30148	31668	+					asp2	64343691	I6H60_RS00150	1521		old_locus_tag=I6H60_00150
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	30148	31668	+	WP_010275899.1	WP_010275899.1		accessory Sec system protein Asp2	asp2	64343691	I6H60_RS00150	1521	506	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	31668	32690	+					asp3	64343692	I6H60_RS00155	1023		old_locus_tag=I6H60_00155
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	31668	32690	+	WP_010275895.1	WP_010275895.1		accessory Sec system protein Asp3	asp3	64343692	I6H60_RS00155	1023	340	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	32754	33128	-						64343693	I6H60_RS00160	375		old_locus_tag=I6H60_00160
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	32754	33128	-	WP_010275891.1	WP_010275891.1		PaaI family thioesterase		64343693	I6H60_RS00160	375	124	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	33163	33996	+					menB	64343694	I6H60_RS00165	834		old_locus_tag=I6H60_00165
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	33163	33996	+	WP_010275888.1	WP_010275888.1		1,4-dihydroxy-2-naphthoyl-CoA synthase	menB	64343694	I6H60_RS00165	834	277	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	34025	34816	+						64343695	I6H60_RS00170	792		old_locus_tag=I6H60_00170
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	34025	34816	+	WP_010275883.1	WP_010275883.1		carbon-nitrogen family hydrolase		64343695	I6H60_RS00170	792	263	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	34831	36015	+						64343696	I6H60_RS00175	1185		old_locus_tag=I6H60_00175
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	34831	36015	+	WP_010275880.1	WP_010275880.1		pyridoxal phosphate-dependent aminotransferase		64343696	I6H60_RS00175	1185	394	
gene	rRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	36370	37920	+						64343697	I6H60_RS00180	1551		old_locus_tag=I6H60_00180
rRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	36370	37920	+				16S ribosomal RNA		64343697	I6H60_RS00180	1551		
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	38034	38106	+						64343698	I6H60_RS00185	73		old_locus_tag=I6H60_00185
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	38034	38106	+				tRNA-Ala		64343698	I6H60_RS00185	73		anticodon=TGC
gene	rRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	38295	41209	+						64343699	I6H60_RS00190	2915		old_locus_tag=I6H60_00190
rRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	38295	41209	+				23S ribosomal RNA		64343699	I6H60_RS00190	2915		
gene	rRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41283	41399	+					rrf	64343700	I6H60_RS00195	117		old_locus_tag=I6H60_00195
rRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41283	41399	+				5S ribosomal RNA	rrf	64343700	I6H60_RS00195	117		
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41435	41525	+						64343701	I6H60_RS00200	91		old_locus_tag=I6H60_00200
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41435	41525	+				tRNA-Ser		64343701	I6H60_RS00200	91		anticodon=GGA
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41530	41602	+						64343702	I6H60_RS00205	73		old_locus_tag=I6H60_00205
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41530	41602	+				tRNA-Val		64343702	I6H60_RS00205	73		anticodon=TAC
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41649	41721	+						64343703	I6H60_RS00210	73		old_locus_tag=I6H60_00210
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41649	41721	+				tRNA-Thr		64343703	I6H60_RS00210	73		anticodon=TGT
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41730	41801	+						64343704	I6H60_RS00215	72		old_locus_tag=I6H60_00215
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41730	41801	+				tRNA-Gly		64343704	I6H60_RS00215	72		anticodon=GCC
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41807	41890	+						64343705	I6H60_RS00220	84		old_locus_tag=I6H60_00220
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41807	41890	+				tRNA-Leu		64343705	I6H60_RS00220	84		anticodon=TAA
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41896	41969	+						64343706	I6H60_RS00225	74		old_locus_tag=I6H60_00225
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	41896	41969	+				tRNA-Arg		64343706	I6H60_RS00225	74		anticodon=ACG
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42037	42110	+						64343707	I6H60_RS00230	74		old_locus_tag=I6H60_00230
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42037	42110	+				tRNA-Pro		64343707	I6H60_RS00230	74		anticodon=TGG
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42140	42213	+						64343708	I6H60_RS00235	74		old_locus_tag=I6H60_00235
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42140	42213	+				tRNA-Met		64343708	I6H60_RS00235	74		anticodon=CAT
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42227	42300	+						64343709	I6H60_RS00240	74		old_locus_tag=I6H60_00240
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42227	42300	+				tRNA-Ile		64343709	I6H60_RS00240	74		anticodon=CAT
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42323	42412	+						64343710	I6H60_RS00245	90		old_locus_tag=I6H60_00245
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42323	42412	+				tRNA-Ser		64343710	I6H60_RS00245	90		anticodon=TGA
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42442	42515	+						64343711	I6H60_RS00250	74		old_locus_tag=I6H60_00250
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42442	42515	+				tRNA-Met		64343711	I6H60_RS00250	74		anticodon=CAT
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42518	42591	+						64343712	I6H60_RS00255	74		old_locus_tag=I6H60_00255
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42518	42591	+				tRNA-Asp		64343712	I6H60_RS00255	74		anticodon=GTC
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42612	42684	+						64343713	I6H60_RS00260	73		old_locus_tag=I6H60_00260
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42612	42684	+				tRNA-Phe		64343713	I6H60_RS00260	73		anticodon=GAA
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42715	42785	+						64343714	I6H60_RS00265	71		old_locus_tag=I6H60_00265
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42715	42785	+				tRNA-Gly		64343714	I6H60_RS00265	71		anticodon=TCC
gene	tRNA	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42808	42881	+						64343715	I6H60_RS00270	74		old_locus_tag=I6H60_00270
tRNA		GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	42808	42881	+				tRNA-Ile		64343715	I6H60_RS00270	74		anticodon=GAT
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	43274	44479	+						64343716	I6H60_RS00275	1206		old_locus_tag=I6H60_00275
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	43274	44479	+	WP_010275995.1	WP_010275995.1		MFS transporter		64343716	I6H60_RS00275	1206	401	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	44522	45298	-						64343717	I6H60_RS00280	777		old_locus_tag=I6H60_00280
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	44522	45298	-	WP_139968051.1	WP_139968051.1		TIGR01457 family HAD-type hydrolase		64343717	I6H60_RS00280	777	258	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	45569	45958	+						64343718	I6H60_RS00285	390		old_locus_tag=I6H60_00285
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	45569	45958	+	WP_031941014.1	WP_031941014.1		hypothetical protein		64343718	I6H60_RS00285	390	129	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	45958	46749	+						64343719	I6H60_RS00290	792		old_locus_tag=I6H60_00290
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	45958	46749	+	WP_139968053.1	WP_139968053.1		hypothetical protein		64343719	I6H60_RS00290	792	263	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	46765	47208	-						64343720	I6H60_RS00295	444		old_locus_tag=I6H60_00295
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	46765	47208	-	WP_010278888.1	WP_010278888.1		GNAT family N-acetyltransferase		64343720	I6H60_RS00295	444	147	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	47258	49453	+						64343721	I6H60_RS00300	2196		old_locus_tag=I6H60_00300
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	47258	49453	+	WP_031941013.1	WP_031941013.1		LTA synthase family protein		64343721	I6H60_RS00300	2196	731	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	49473	50534	+						64343722	I6H60_RS00305	1062		old_locus_tag=I6H60_00305
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	49473	50534	+	WP_031941012.1	WP_031941012.1		glycosyltransferase		64343722	I6H60_RS00305	1062	353	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	50619	51089	+						64343723	I6H60_RS00310	471		old_locus_tag=I6H60_00310
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	50619	51089	+	WP_010278877.1	WP_010278877.1		MerR family transcriptional regulator		64343723	I6H60_RS00310	471	156	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	51126	51689	-					thiT	64343724	I6H60_RS00315	564		old_locus_tag=I6H60_00315
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	51126	51689	-	WP_242455651.1	WP_242455651.1		energy-coupled thiamine transporter ThiT	thiT	64343724	I6H60_RS00315	564	187	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	51904	52800	+						64343725	I6H60_RS00320	897		old_locus_tag=I6H60_00320
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	51904	52800	+	WP_010278871.1	WP_010278871.1		RluA family pseudouridine synthase		64343725	I6H60_RS00320	897	298	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	52839	53558	-						64343726	I6H60_RS00325	720		old_locus_tag=I6H60_00325
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	52839	53558	-	WP_010278869.1	WP_010278869.1		aquaporin		64343726	I6H60_RS00325	720	239	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	53661	54389	-						64343727	I6H60_RS00330	729		old_locus_tag=I6H60_00330
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	53661	54389	-	WP_010278865.1	WP_010278865.1		aquaporin		64343727	I6H60_RS00330	729	242	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	54503	56572	-						64343728	I6H60_RS00335	2070		old_locus_tag=I6H60_00335
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	54503	56572	-	WP_010278863.1	WP_010278863.1		copper-translocating P-type ATPase		64343728	I6H60_RS00335	2070	689	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	56553	56996	-						64343729	I6H60_RS00340	444		old_locus_tag=I6H60_00340
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	56553	56996	-	WP_010278861.1	WP_010278861.1		CopY/TcrY family copper transport repressor		64343729	I6H60_RS00340	444	147	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	57184	57549	+						64343730	I6H60_RS00345	366		old_locus_tag=I6H60_00345
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	57184	57549	+	WP_010278859.1	WP_010278859.1		GntR family transcriptional regulator		64343730	I6H60_RS00345	366	121	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	57546	58448	+						64343731	I6H60_RS00350	903		old_locus_tag=I6H60_00350
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	57546	58448	+	WP_010278856.1	WP_010278856.1		ATP-binding cassette domain-containing protein		64343731	I6H60_RS00350	903	300	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	58448	59275	+						64343732	I6H60_RS00355	828		old_locus_tag=I6H60_00355
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	58448	59275	+	WP_010278853.1	WP_010278853.1		hypothetical protein		64343732	I6H60_RS00355	828	275	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	59314	60219	+						64343733	I6H60_RS00360	906		old_locus_tag=I6H60_00360
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	59314	60219	+	WP_010278849.1	WP_010278849.1		ATP-binding cassette domain-containing protein		64343733	I6H60_RS00360	906	301	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	60223	60990	+						64343734	I6H60_RS00365	768		old_locus_tag=I6H60_00365
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	60223	60990	+	WP_010278846.1	WP_010278846.1		ABC transporter permease		64343734	I6H60_RS00365	768	255	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	61050	62537	-						64343735	I6H60_RS00370	1488		old_locus_tag=I6H60_00370
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	61050	62537	-	WP_031941011.1	WP_031941011.1		ABC-F type ribosomal protection protein		64343735	I6H60_RS00370	1488	495	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	62864	63199	+						64343736	I6H60_RS00375	336		old_locus_tag=I6H60_00375
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	62864	63199	+	WP_010278840.1	WP_010278840.1		PadR family transcriptional regulator		64343736	I6H60_RS00375	336	111	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	63192	64028	+						64343737	I6H60_RS00380	837		old_locus_tag=I6H60_00380
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	63192	64028	+	WP_010278836.1	WP_010278836.1		membrane protein		64343737	I6H60_RS00380	837	278	
